Orthogroup	crunogenapep	magnificapep	okutaniipep	Total
OG0001014	0	1	1	2
OG0001015	0	1	1	2
OG0001016	0	1	1	2
OG0001017	0	1	1	2
OG0001018	0	1	1	2
OG0001019	0	1	1	2
OG0001020	0	1	1	2
OG0001021	0	1	1	2
OG0001022	0	1	1	2
OG0001023	0	1	1	2
OG0001024	0	1	1	2
OG0001025	0	1	1	2
OG0001026	0	1	1	2
OG0001027	0	1	1	2
OG0001028	0	1	1	2
OG0001029	0	1	1	2
OG0001030	0	1	1	2
OG0001031	0	1	1	2
OG0001032	0	1	1	2
OG0001033	0	1	1	2
OG0001034	0	1	1	2
OG0001035	0	1	1	2
OG0001036	0	1	1	2
OG0001037	0	1	1	2
OG0001038	0	0	2	2
