Number of species	3
Number of genes	4109
Number of genes in orthogroups	3156
Number of unassigned genes	953
Percentage of genes in orthogroups	76.8
Percentage of unassigned genes	23.2
Number of orthogroups	1039
Number of species-specific orthogroups	125
Number of genes in species-specific orthogroups	399
Percentage of genes in species-specific orthogroups	9.7
Mean orthogroup size	3.0
Median orthogroup size	3.0
G50 (assigned genes)	3
G50 (all genes)	3
O50 (assigned genes)	411
O50 (all genes)	570
Number of orthogroups with all species present	677
Number of single-copy orthogroups	570
Date	2025-01-22
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	308	29.6	616	19.5
'1	695	66.9	2198	69.6
'2	25	2.4	158	5.0
'3	6	0.6	60	1.9
'4	1	0.1	14	0.4
'5	1	0.1	17	0.5
'6	0	0.0	0	0.0
'7	1	0.1	21	0.7
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	1	0.1	31	1.0
11-15	1	0.1	41	1.3
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	125
2	237
3	677
